Département;Circonscription;Députés;Email;Numéro de circonscription;Prénom;Nom;identifiant;Commission;Sign PPL Peytavie;URL3;Région;Profession;Groupe politique (complet);Groupe politique (abrégé);;;
Seine-Saint-Denis;10-Nadège Abomangoli;Nadège Abomangoli;nadege.abomangoli@assemblee-nationale.fr;10;Nadège;Abomangoli;795228;Affaires étrangères;795228;https://www.assemblee-nationale.fr/dyn/deputes/PA795228;Ile-de-France;Contrôleure interne et risk manager;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Marne;1-Xavier Albertini;Xavier Albertini;xavier.albertini@assemblee-nationale.fr;1;Xavier;Albertini;794278;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794278;Grand Est;Profession libérale;Horizons & Indépendants;HOR;;;
Aveyron;2-Laurent Alexandre;Laurent Alexandre;laurent.alexandre@assemblee-nationale.fr;2;Laurent;Alexandre;793262;Affaires économiques;793262;https://www.assemblee-nationale.fr/dyn/deputes/PA793262;Occitanie;Ouvrier qualifié de type industriel;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Indre-et-Loire;3-Henri Alfandari;Henri Alfandari;henri.alfandari@assemblee-nationale.fr;3;Henri;Alfandari;793992;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793992;Centre-Val de Loire;Ancien artisan, commerçant, chef d'entreprise;Horizons & Indépendants;HOR;;;
Gard;5-Alexandre Allegret-Pilot;Alexandre Allegret-Pilot;alexandre.allegret-pilot@assemblee-nationale.fr;5;Alexandre;Allegret-Pilot;841067;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841067;Occitanie;(33) - Cadre de la fonction publique;UDR;UDR;;;
Hautes-Alpes;1-Marie-José Allemand;Marie-José Allemand;marie-jose.allemand@assemblee-nationale.fr;1;Marie-José;Allemand;840665;Lois constitutionnelles, de la législation et de l'administration générale de la République;840665;https://www.assemblee-nationale.fr/dyn/deputes/PA840665;Provence-Alpes-Côte d'Azur;(12) - Agriculteur sur moyenne exploitation;Socialistes et apparentés;SOC;;;
Bouches-du-Rhône;12-Franck Allisio;Franck Allisio;franck.allisio@assemblee-nationale.fr;12;Franck;Allisio;793432;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793432;Provence-Alpes-Côte d'Azur;Profession libérale;Rassemblement National;RN;;;
Hérault;9-Charles Alloncle;Charles Alloncle;charles.alloncle@assemblee-nationale.fr;9;Charles;Alloncle;841207;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841207;Occitanie;(37) - Cadre administratif et commercial d'entreprise;UDR;UDR;;;
Rhône;6-Gabriel Amard;Gabriel Amard;gabriel.amard@assemblee-nationale.fr;6;Gabriel;Amard;794906;Développement durable et de l'aménagement du territoire;794906;https://www.assemblee-nationale.fr/dyn/deputes/PA794906;Auvergne-Rhône-Alpes;Cadre administratif et commercial d'entreprise;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Meuse;1-Maxime Amblard;Maxime Amblard;maxime.amblard@assemblee-nationale.fr;1;Maxime;Amblard;841495;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841495;Grand Est;(38) - Ingénieur et cadre technique d'entreprise;Rassemblement National;RN;;;
